title,rotten_rating,rotten_votes,rotten_link,poster
"The Good, the Bad and the Ugly",97%,"100,000+ Ratings",https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly,https://resizing.flixster.com/h5AIpcBoZyRptoMksgUEnuodi5g=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4161_p_v8_av.jpg
Star Wars,97%,"250,000+ Ratings",https://www.rottentomatoes.com/franchise/star_wars_saga,https://resizing.flixster.com/oMsdTq3UaKH3TxTfnmnoCxiar1M=/206x305/v2/https://resizing.flixster.com/zt7Gfeej1SFCHuaaW28SnoVuy6w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhlZmFkYjkwLTc0OGYtNDcxMS04MGI3LWNlNjBkYTkyNzQxYy5qcGc=
The Hunt,93%,"10,000+ Ratings",https://www.rottentomatoes.com/m/the_hunt_2013,https://resizing.flixster.com/ZHjg0SeHTXFEI_VEiNpAgvw8PYg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9585817_p_v8_ad.jpg
M,95%,"25,000+ Ratings",https://www.rottentomatoes.com/m/1012928-m,https://resizing.flixster.com/rVDuqcxlvS8She3LzNQxF7ViKNg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p967_p_v8_ab.jpg
The Kid,95%,"10,000+ Ratings",https://www.rottentomatoes.com/m/1052609-kid,https://resizing.flixster.com/TNWW5OlgDxUz2_5_Qc_fAQ80A1c=/206x305/v2/https://resizing.flixster.com/jTd_hsCtpTQDGsNkbQ6uEUh6-DM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUwNzliMTJlLTdkMDgtNDNkOC1hZjhjLTJlNmUzMjlkYTJmZC53ZWJw
The Thing,92%,"100,000+ Ratings",https://www.rottentomatoes.com/m/1021244-thing,https://resizing.flixster.com/iDd0lGCiRLLC0mSjULBN3oNGtoA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5550_p_v8_aa.jpg
V for Vendetta,90%,"250,000+ Ratings",https://www.rottentomatoes.com/m/v_for_vendetta,https://resizing.flixster.com/KzxgbeJEBfo_h4ymCdNWl3QBCfQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p159693_p_v8_bb.jpg
The General,92%,"10,000+ Ratings",https://www.rottentomatoes.com/m/1008166-general,https://resizing.flixster.com/aZEmjE3QkdYMoc7BRydgtAZ0XHg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6125_p_v8_ab.jpg
Jai Bhim,98%,Fewer than 50 Ratings,https://www.rottentomatoes.com/m/jai_bhim,https://resizing.flixster.com/YqT5MNq6iRdUXtHBKg6ADVXAkVo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20749753_p_v10_aa.jpg
