title,rotten_rating,rotten_votes,rotten_link,poster
"The Good, the Bad and the Ugly",N/A,N/A,N/A,N/A
Star Wars,N/A,N/A,N/A,N/A
The Hunt,N/A,N/A,N/A,N/A
M,N/A,N/A,N/A,N/A
The Kid,N/A,N/A,N/A,N/A
The Thing,N/A,N/A,N/A,N/A
V for Vendetta,N/A,N/A,N/A,N/A
The General,N/A,N/A,N/A,N/A
Jai Bhim,98%,Fewer than 50 Ratings,https://www.rottentomatoes.com/m/jai_bhim,https://resizing.flixster.com/YqT5MNq6iRdUXtHBKg6ADVXAkVo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20749753_p_v10_aa.jpg
